datetime,r_f,near_Maturity_time,days_in_year,T1_min,next_Maturity_time,T2_min,close
2024-05-22 09:31:00,0.016052,2024-06-26 09:30:00,366,50399.0,2024-07-24 09:30:00,90719.0,0.784
2024-05-22 09:32:00,0.016052,2024-06-26 09:30:00,366,50398.0,2024-07-24 09:30:00,90718.0,0.784
2024-05-22 09:33:00,0.016052,2024-06-26 09:30:00,366,50397.0,2024-07-24 09:30:00,90717.0,0.783
2024-05-22 09:34:00,0.016052,2024-06-26 09:30:00,366,50396.0,2024-07-24 09:30:00,90716.0,0.783
2024-05-22 09:35:00,0.016052,2024-06-26 09:30:00,366,50395.0,2024-07-24 09:30:00,90715.0,0.783
2024-05-22 09:36:00,0.016052,2024-06-26 09:30:00,366,50394.0,2024-07-24 09:30:00,90714.0,0.783
2024-05-22 09:37:00,0.016052,2024-06-26 09:30:00,366,50393.0,2024-07-24 09:30:00,90713.0,0.783
2024-05-22 09:38:00,0.016052,2024-06-26 09:30:00,366,50392.0,2024-07-24 09:30:00,90712.0,0.784
2024-05-22 09:39:00,0.016052,2024-06-26 09:30:00,366,50391.0,2024-07-24 09:30:00,90711.0,0.782
2024-05-22 09:40:00,0.016052,2024-06-26 09:30:00,366,50390.0,2024-07-24 09:30:00,90710.0,0.783
2024-05-22 09:41:00,0.016052,2024-06-26 09:30:00,366,50389.0,2024-07-24 09:30:00,90709.0,0.782
2024-05-22 09:42:00,0.016052,2024-06-26 09:30:00,366,50388.0,2024-07-24 09:30:00,90708.0,0.783
2024-05-22 09:43:00,0.016052,2024-06-26 09:30:00,366,50387.0,2024-07-24 09:30:00,90707.0,0.783
2024-05-22 09:44:00,0.016052,2024-06-26 09:30:00,366,50386.0,2024-07-24 09:30:00,90706.0,0.782
2024-05-22 09:45:00,0.016052,2024-06-26 09:30:00,366,50385.0,2024-07-24 09:30:00,90705.0,0.782
2024-05-22 09:46:00,0.016052,2024-06-26 09:30:00,366,50384.0,2024-07-24 09:30:00,90704.0,0.783
2024-05-22 09:47:00,0.016052,2024-06-26 09:30:00,366,50383.0,2024-07-24 09:30:00,90703.0,0.782
