strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.5,10006857,10006858,0.2869,0.0001,0.2868,0.0001
0.55,10006829,10006830,0.242,0.0002,0.2418,0.0002
0.6,10006613,10006614,0.1825,0.0002,0.1823,0.0002
0.65,10006499,10006500,0.1336,0.0005,0.1331,0.0005
0.7,10006221,10006230,0.0893,0.002,0.0873,0.002
0.75,10006222,10006231,0.0478,0.0042,0.0436,0.0042
0.8,10006223,10006232,0.0193,0.0317,0.012399999999999998,0.0193
0.85,10006224,10006233,0.0077,0.0679,0.060200000000000004,0.0077
0.9,10006225,10006234,0.0031,0.1155,0.1124,0.0031
0.95,10006226,10006235,0.001,0.1671,0.1661,0.001
1.0,10006227,10006236,0.0007,0.2113,0.21059999999999998,0.0007
1.05,10006228,10006237,0.0003,0.2597,0.25939999999999996,0.0003
1.1,10006229,10006238,0.0002,0.3106,0.3104,0.0002
1.15,10006267,10006268,0.0001,0.3564,0.3563,0.0001
