strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.5,10006857,10006858,0.2583,0.0003,0.25799999999999995,0.0003
0.55,10006829,10006830,0.2086,0.0006,0.20800000000000002,0.0006
0.6,10006613,10006614,0.1596,0.0012,0.15839999999999999,0.0012
0.65,10006499,10006500,0.1121,0.0037,0.10840000000000001,0.0037
0.7,10006221,10006230,0.0697,0.0105,0.059199999999999996,0.0105
0.75,10006222,10006231,0.0364,0.027,0.009400000000000002,0.027
0.8,10006223,10006232,0.0168,0.0571,0.0403,0.0168
0.85,10006224,10006233,0.0074,0.0974,0.09,0.0074
0.9,10006225,10006234,0.0038,0.1439,0.1401,0.0038
0.95,10006226,10006235,0.0018,0.191,0.1892,0.0018
1.0,10006227,10006236,0.0011,0.2401,0.23900000000000002,0.0011
1.05,10006228,10006237,0.0006,0.2913,0.2907,0.0006
1.1,10006229,10006238,0.0003,0.3406,0.3403,0.0003
1.15,10006267,10006268,0.0002,0.4006,0.40040000000000003,0.0002
