strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.5,10006857,10006858,0.2835,0.0001,0.2834,0.0001
0.55,10006829,10006830,0.2335,0.0001,0.23340000000000002,0.0001
0.6,10006613,10006614,0.186,0.0001,0.1859,0.0001
0.65,10006499,10006500,0.1316,0.0001,0.1315,0.0001
0.7,10006221,10006230,0.0819,0.0001,0.0818,0.0001
0.75,10006222,10006231,0.0317,0.0003,0.0314,0.0003
0.8,10006223,10006232,0.0018,0.0194,0.0176,0.0018
0.85,10006224,10006233,0.0002,0.068,0.0678,0.0002
0.9,10006225,10006234,0.0001,0.1172,0.1171,0.0001
0.95,10006226,10006235,0.0001,0.1674,0.1673,0.0001
1.0,10006227,10006236,0.0001,0.2122,0.2121,0.0001
1.05,10006228,10006237,0.0001,0.2637,0.2636,0.0001
1.1,10006229,10006238,0.0001,0.316,0.3159,0.0001
1.15,10006267,10006268,0.0001,0.3657,0.36560000000000004,0.0001
