strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
3800.0,MO2406C3800,MO2406P3800,1532.4,0.6,1531.8000000000002,0.6
3900.0,MO2406C3900,MO2406P3900,1392.8,0.4,1392.3999999999999,0.4
4000.0,MO2406C4000,MO2406P4000,1275.0,0.4,1274.6,0.4
4100.0,MO2406C4100,MO2406P4100,1175.0,0.6,1174.4,0.6
4200.0,MO2406C4200,MO2406P4200,1076.6,0.6,1076.0,0.6
4300.0,MO2406C4300,MO2406P4300,971.8,0.8,971.0,0.8
4400.0,MO2406C4400,MO2406P4400,871.4,0.6,870.8,0.6
4500.0,MO2406C4500,MO2406P4500,770.0,0.8,769.2,0.8
4550.0,MO2406C4550,MO2406P4550,714.4,1.0,713.4,1.0
4600.0,MO2406C4600,MO2406P4600,664.8,1.6,663.1999999999999,1.6
4650.0,MO2406C4650,MO2406P4650,629.6,1.2,628.4,1.2
4700.0,MO2406C4700,MO2406P4700,580.0,2.0,578.0,2.0
4750.0,MO2406C4750,MO2406P4750,530.4,2.8,527.6,2.8
4800.0,MO2406C4800,MO2406P4800,482.4,4.8,477.59999999999997,4.8
4850.0,MO2406C4850,MO2406P4850,437.2,6.2,431.0,6.2
4900.0,MO2406C4900,MO2406P4900,377.6,9.2,368.40000000000003,9.2
4950.0,MO2406C4950,MO2406P4950,339.8,12.8,327.0,12.8
5000.0,MO2406C5000,MO2406P5000,296.4,19.2,277.2,19.2
5100.0,MO2406C5100,MO2406P5100,218.6,37.6,181.0,37.6
5200.0,MO2406C5200,MO2406P5200,149.8,69.0,80.80000000000001,69.0
5300.0,MO2406C5300,MO2406P5300,97.0,117.0,20.0,97.0
5400.0,MO2406C5400,MO2406P5400,60.8,180.2,119.39999999999999,60.8
5500.0,MO2406C5500,MO2406P5500,37.4,255.6,218.2,37.4
5600.0,MO2406C5600,MO2406P5600,22.4,341.2,318.8,22.4
5700.0,MO2406C5700,MO2406P5700,12.8,431.2,418.4,12.8
5800.0,MO2406C5800,MO2406P5800,7.2,528.0,520.8,7.2
5900.0,MO2406C5900,MO2406P5900,4.2,569.6,565.4,4.2
6000.0,MO2406C6000,MO2406P6000,3.4,736.2,732.8000000000001,3.4
6100.0,MO2406C6100,MO2406P6100,1.8,765.8,764.0,1.8
6200.0,MO2406C6200,MO2406P6200,1.6,865.0,863.4,1.6
6300.0,MO2406C6300,MO2406P6300,1.2,1027.2,1026.0,1.2
6400.0,MO2406C6400,MO2406P6400,1.0,1135.0,1134.0,1.0
6600.0,MO2406C6600,MO2406P6600,0.8,1298.8,1298.0,0.8
6800.0,MO2406C6800,MO2406P6800,0.8,1534.0,1533.2,0.8
7000.0,MO2406C7000,MO2406P7000,0.8,1698.4,1697.6000000000001,0.8
7200.0,MO2406C7200,MO2406P7200,0.6,1874.6,1874.0,0.6
7400.0,MO2406C7400,MO2406P7400,0.6,2049.2,2048.6,0.6
