strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4800.0,MO2402C4800,MO2402P4800,475.0,23.0,452.0,23.0
4850.0,MO2402C4850,MO2402P4850,419.0,30.0,389.0,30.0
4900.0,MO2402C4900,MO2402P4900,381.2,37.4,343.8,37.4
4950.0,MO2402C4950,MO2402P4950,356.0,46.6,309.4,46.6
5000.0,MO2402C5000,MO2402P5000,307.6,55.6,252.00000000000003,55.6
5100.0,MO2402C5100,MO2402P5100,232.2,83.6,148.6,83.6
5200.0,MO2402C5200,MO2402P5200,178.8,119.8,59.000000000000014,119.8
5300.0,MO2402C5300,MO2402P5300,126.8,168.2,41.39999999999999,126.8
5400.0,MO2402C5400,MO2402P5400,87.6,230.0,142.4,87.6
5500.0,MO2402C5500,MO2402P5500,58.0,305.0,247.0,58.0
5600.0,MO2402C5600,MO2402P5600,38.0,390.8,352.8,38.0
5700.0,MO2402C5700,MO2402P5700,23.8,474.0,450.2,23.8
5800.0,MO2402C5800,MO2402P5800,15.2,568.0,552.8,15.2
5900.0,MO2402C5900,MO2402P5900,9.8,665.4,655.6,9.8
6000.0,MO2402C6000,MO2402P6000,6.6,762.0,755.4,6.6
6100.0,MO2402C6100,MO2402P6100,4.4,875.0,870.6,4.4
6200.0,MO2402C6200,MO2402P6200,2.8,976.8,974.0,2.8
6300.0,MO2402C6300,MO2402P6300,2.0,1058.6,1056.6,2.0
6400.0,MO2402C6400,MO2402P6400,1.4,1157.8,1156.3999999999999,1.4
6500.0,MO2402C6500,MO2402P6500,1.4,1257.6,1256.1999999999998,1.4
6600.0,MO2402C6600,MO2402P6600,1.2,1327.4,1326.2,1.2
6700.0,MO2402C6700,MO2402P6700,1.0,1478.2,1477.2,1.0
6800.0,MO2402C6800,MO2402P6800,1.0,1566.4,1565.4,1.0
6900.0,MO2402C6900,MO2402P6900,0.8,1710.0,1709.2,0.8
