strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
3850.0,MO2403C3850,MO2403P3850,1401.4,1.0,1400.4,1.0
3900.0,MO2403C3900,MO2403P3900,1253.8,0.8,1253.0,0.8
3950.0,MO2403C3950,MO2403P3950,1229.0,1.0,1228.0,1.0
4000.0,MO2403C4000,MO2403P4000,1219.8,1.0,1218.8,1.0
4050.0,MO2403C4050,MO2403P4050,1216.8,1.2,1215.6,1.2
4100.0,MO2403C4100,MO2403P4100,1181.2,1.6,1179.6000000000001,1.6
4150.0,MO2403C4150,MO2403P4150,1130.4,1.8,1128.6000000000001,1.8
4200.0,MO2403C4200,MO2403P4200,1070.6,2.2,1068.3999999999999,2.2
4250.0,MO2403C4250,MO2403P4250,887.2,2.8,884.4000000000001,2.8
4300.0,MO2403C4300,MO2403P4300,923.6,3.6,920.0,3.6
4350.0,MO2403C4350,MO2403P4350,899.2,4.8,894.4000000000001,4.8
4400.0,MO2403C4400,MO2403P4400,840.4,6.4,834.0,6.4
4450.0,MO2403C4450,MO2403P4450,807.6,8.0,799.6,8.0
4500.0,MO2403C4500,MO2403P4500,786.4,10.0,776.4,10.0
4550.0,MO2403C4550,MO2403P4550,618.8,11.8,607.0,11.8
4600.0,MO2403C4600,MO2403P4600,679.6,15.2,664.4,15.2
4650.0,MO2403C4650,MO2403P4650,652.8,18.6,634.1999999999999,18.6
4700.0,MO2403C4700,MO2403P4700,617.4,23.2,594.1999999999999,23.2
4750.0,MO2403C4750,MO2403P4750,572.2,27.8,544.4000000000001,27.8
4800.0,MO2403C4800,MO2403P4800,500.0,34.2,465.8,34.2
4850.0,MO2403C4850,MO2403P4850,472.8,41.0,431.8,41.0
4900.0,MO2403C4900,MO2403P4900,396.0,49.8,346.2,49.8
4950.0,MO2403C4950,MO2403P4950,385.6,58.2,327.40000000000003,58.2
5000.0,MO2403C5000,MO2403P5000,317.0,71.6,245.4,71.6
5100.0,MO2403C5100,MO2403P5100,243.0,101.0,142.0,101.0
5200.0,MO2403C5200,MO2403P5200,182.6,140.4,42.19999999999999,140.4
5300.0,MO2403C5300,MO2403P5300,132.4,189.8,57.400000000000006,132.4
5400.0,MO2403C5400,MO2403P5400,93.0,245.0,152.0,93.0
5500.0,MO2403C5500,MO2403P5500,64.4,320.0,255.6,64.4
5600.0,MO2403C5600,MO2403P5600,43.0,389.6,346.6,43.0
5700.0,MO2403C5700,MO2403P5700,27.6,467.6,440.0,27.6
5800.0,MO2403C5800,MO2403P5800,17.4,525.0,507.6,17.4
5900.0,MO2403C5900,MO2403P5900,10.6,771.2,760.6,10.6
6000.0,MO2403C6000,MO2403P6000,7.4,718.0,710.6,7.4
6100.0,MO2403C6100,MO2403P6100,4.0,962.4,958.4,4.0
6200.0,MO2403C6200,MO2403P6200,2.4,995.0,992.6,2.4
6300.0,MO2403C6300,MO2403P6300,1.6,958.4,956.8,1.6
6400.0,MO2403C6400,MO2403P6400,1.0,1245.6,1244.6,1.0
6500.0,MO2403C6500,MO2403P6500,1.0,1203.4,1202.4,1.0
6600.0,MO2403C6600,MO2403P6600,0.8,1378.2,1377.4,0.8
6800.0,MO2403C6800,MO2403P6800,0.8,1570.0,1569.2,0.8
7000.0,MO2403C7000,MO2403P7000,0.8,1718.4,1717.6000000000001,0.8
7200.0,MO2403C7200,MO2403P7200,0.6,2065.0,2064.4,0.6
7400.0,MO2403C7400,MO2403P7400,0.6,2307.8,2307.2000000000003,0.6
7600.0,MO2403C7600,MO2403P7600,0.4,2396.4,2396.0,0.4
7800.0,MO2403C7800,MO2403P7800,0.4,2499.2,2498.7999999999997,0.4
