strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.5,10006857,10006858,0.2942,0.0001,0.29410000000000003,0.0001
0.55,10006829,10006830,0.2438,0.0001,0.2437,0.0001
0.6,10006613,10006614,0.1952,0.0001,0.19510000000000002,0.0001
0.65,10006499,10006500,0.1435,0.0001,0.1434,0.0001
0.7,10006221,10006230,0.0938,0.0003,0.0935,0.0003
0.75,10006222,10006231,0.0454,0.0018,0.0436,0.0018
0.8,10006223,10006232,0.0113,0.0167,0.0054,0.0113
0.85,10006224,10006233,0.002,0.0575,0.0555,0.002
0.9,10006225,10006234,0.0003,0.1059,0.1056,0.0003
0.95,10006226,10006235,0.0002,0.1562,0.156,0.0002
1.0,10006227,10006236,0.0002,0.2056,0.2054,0.0002
1.05,10006228,10006237,0.0001,0.2555,0.2554,0.0001
1.1,10006229,10006238,0.0001,0.3078,0.30770000000000003,0.0001
1.15,10006267,10006268,0.0001,0.356,0.3559,0.0001
