strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.55,10007435,10007436,0.2219,0.0001,0.2218,0.0001
0.6,10007387,10007396,0.1727,0.0002,0.1725,0.0002
0.65,10007388,10007397,0.1201,0.0005,0.1196,0.0005
0.7,10007389,10007398,0.0744,0.0025,0.07189999999999999,0.0025
0.75,10007390,10007399,0.0338,0.0121,0.021699999999999997,0.0121
0.8,10007391,10007400,0.0115,0.0393,0.027800000000000002,0.0115
0.85,10007392,10007401,0.0041,0.0815,0.0774,0.0041
0.9,10007393,10007402,0.0014,0.1284,0.12699999999999997,0.0014
0.95,10007394,10007403,0.0009,0.1764,0.1755,0.0009
1.0,10007395,10007404,0.0002,0.2257,0.2255,0.0002
