strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4600.0,MO2407C4600,MO2407P4600,505.4,18.8,486.59999999999997,18.8
4650.0,MO2407C4650,MO2407P4650,462.2,24.0,438.2,24.0
4700.0,MO2407C4700,MO2407P4700,396.0,29.0,367.0,29.0
4750.0,MO2407C4750,MO2407P4750,385.2,35.2,350.0,35.2
4800.0,MO2407C4800,MO2407P4800,337.0,42.6,294.4,42.6
4850.0,MO2407C4850,MO2407P4850,275.6,53.2,222.40000000000003,53.2
4900.0,MO2407C4900,MO2407P4900,299.8,64.6,235.20000000000002,64.6
4950.0,MO2407C4950,MO2407P4950,235.2,77.6,157.6,77.6
5000.0,MO2407C5000,MO2407P5000,233.0,94.6,138.4,94.6
5100.0,MO2407C5100,MO2407P5100,172.0,134.4,37.599999999999994,134.4
5200.0,MO2407C5200,MO2407P5200,124.0,186.4,62.400000000000006,124.0
5300.0,MO2407C5300,MO2407P5300,87.0,248.6,161.6,87.0
5400.0,MO2407C5400,MO2407P5400,60.8,328.2,267.4,60.8
5500.0,MO2407C5500,MO2407P5500,41.0,420.2,379.2,41.0
5600.0,MO2407C5600,MO2407P5600,28.0,525.0,497.0,28.0
5700.0,MO2407C5700,MO2407P5700,19.4,623.0,603.6,19.4
5800.0,MO2407C5800,MO2407P5800,13.0,715.6,702.6,13.0
5900.0,MO2407C5900,MO2407P5900,9.0,824.6,815.6,9.0
6000.0,MO2407C6000,MO2407P6000,6.8,900.0,893.2,6.8
6100.0,MO2407C6100,MO2407P6100,5.6,1062.2,1056.6000000000001,5.6
6200.0,MO2407C6200,MO2407P6200,4.2,1096.0,1091.8,4.2
