strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2402C4500,MO2402P4500,762.2,4.0,758.2,4.0
4550.0,MO2402C4550,MO2402P4550,748.2,5.4,742.8000000000001,5.4
4600.0,MO2402C4600,MO2402P4600,699.8,7.4,692.4,7.4
4650.0,MO2402C4650,MO2402P4650,626.0,9.6,616.4,9.6
4700.0,MO2402C4700,MO2402P4700,572.2,12.2,560.0,12.2
4750.0,MO2402C4750,MO2402P4750,530.0,14.8,515.2,14.8
4800.0,MO2402C4800,MO2402P4800,481.4,19.4,462.0,19.4
4850.0,MO2402C4850,MO2402P4850,428.0,23.6,404.4,23.6
4900.0,MO2402C4900,MO2402P4900,392.0,31.0,361.0,31.0
4950.0,MO2402C4950,MO2402P4950,344.0,38.8,305.2,38.8
5000.0,MO2402C5000,MO2402P5000,316.6,48.8,267.8,48.8
5100.0,MO2402C5100,MO2402P5100,256.4,73.2,183.2,73.2
5200.0,MO2402C5200,MO2402P5200,190.0,107.6,82.4,107.6
5300.0,MO2402C5300,MO2402P5300,135.4,153.2,17.799999999999983,135.4
5400.0,MO2402C5400,MO2402P5400,92.6,209.2,116.6,92.6
5500.0,MO2402C5500,MO2402P5500,60.4,276.2,215.79999999999998,60.4
5600.0,MO2402C5600,MO2402P5600,37.8,359.2,321.4,37.8
5700.0,MO2402C5700,MO2402P5700,22.8,423.2,400.4,22.8
5800.0,MO2402C5800,MO2402P5800,12.4,556.6,544.2,12.4
5900.0,MO2402C5900,MO2402P5900,7.4,646.2,638.8000000000001,7.4
6000.0,MO2402C6000,MO2402P6000,4.4,708.4,704.0,4.4
6100.0,MO2402C6100,MO2402P6100,2.4,805.6,803.2,2.4
6200.0,MO2402C6200,MO2402P6200,1.6,904.8,903.1999999999999,1.6
6300.0,MO2402C6300,MO2402P6300,1.0,1034.2,1033.2,1.0
6400.0,MO2402C6400,MO2402P6400,1.0,1529.0,1528.0,1.0
6500.0,MO2402C6500,MO2402P6500,0.8,1295.8,1295.0,0.8
6600.0,MO2402C6600,MO2402P6600,0.6,1637.6,1637.0,0.6
6700.0,MO2402C6700,MO2402P6700,0.6,1449.6,1449.0,0.6
6800.0,MO2402C6800,MO2402P6800,0.6,1786.4,1785.8000000000002,0.6
6900.0,MO2402C6900,MO2402P6900,0.4,1890.0,1889.6,0.4
