strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2402C4500,MO2402P4500,762.2,3.6,758.6,3.6
4550.0,MO2402C4550,MO2402P4550,748.2,5.0,743.2,5.0
4600.0,MO2402C4600,MO2402P4600,699.8,6.4,693.4,6.4
4650.0,MO2402C4650,MO2402P4650,626.0,9.2,616.8,9.2
4700.0,MO2402C4700,MO2402P4700,572.2,11.4,560.8000000000001,11.4
4750.0,MO2402C4750,MO2402P4750,530.0,14.0,516.0,14.0
4800.0,MO2402C4800,MO2402P4800,481.4,18.2,463.2,18.2
4850.0,MO2402C4850,MO2402P4850,428.0,22.8,405.2,22.8
4900.0,MO2402C4900,MO2402P4900,415.0,29.2,385.8,29.2
4950.0,MO2402C4950,MO2402P4950,375.0,36.6,338.4,36.6
5000.0,MO2402C5000,MO2402P5000,335.0,46.8,288.2,46.8
5100.0,MO2402C5100,MO2402P5100,258.4,70.4,187.99999999999997,70.4
5200.0,MO2402C5200,MO2402P5200,192.0,105.0,87.0,105.0
5300.0,MO2402C5300,MO2402P5300,136.0,149.6,13.599999999999994,136.0
5400.0,MO2402C5400,MO2402P5400,93.0,205.8,112.80000000000001,93.0
5500.0,MO2402C5500,MO2402P5500,60.8,273.6,212.8,60.8
5600.0,MO2402C5600,MO2402P5600,38.0,348.2,310.2,38.0
5700.0,MO2402C5700,MO2402P5700,23.4,423.2,399.8,23.4
5800.0,MO2402C5800,MO2402P5800,13.0,534.8,521.8,13.0
5900.0,MO2402C5900,MO2402P5900,7.6,646.2,638.6,7.6
6000.0,MO2402C6000,MO2402P6000,4.8,708.4,703.6,4.8
6100.0,MO2402C6100,MO2402P6100,2.4,805.6,803.2,2.4
6200.0,MO2402C6200,MO2402P6200,2.0,904.8,902.8,2.0
6300.0,MO2402C6300,MO2402P6300,1.0,1034.2,1033.2,1.0
6400.0,MO2402C6400,MO2402P6400,1.0,1529.0,1528.0,1.0
6500.0,MO2402C6500,MO2402P6500,0.8,1295.8,1295.0,0.8
6600.0,MO2402C6600,MO2402P6600,0.6,1637.6,1637.0,0.6
6700.0,MO2402C6700,MO2402P6700,0.6,1449.6,1449.0,0.6
6800.0,MO2402C6800,MO2402P6800,0.6,1786.4,1785.8000000000002,0.6
6900.0,MO2402C6900,MO2402P6900,0.4,1890.0,1889.6,0.4
