strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
5000.0,MO2401C5000,MO2401P5000,773.4,0.8,772.6,0.8
5100.0,MO2401C5100,MO2401P5100,682.4,1.0,681.4,1.0
5200.0,MO2401C5200,MO2401P5200,645.4,1.4,644.0,1.4
5300.0,MO2401C5300,MO2401P5300,483.8,2.6,481.2,2.6
5400.0,MO2401C5400,MO2401P5400,382.0,5.2,376.8,5.2
5500.0,MO2401C5500,MO2401P5500,294.0,11.6,282.4,11.6
5600.0,MO2401C5600,MO2401P5600,202.8,23.8,179.0,23.8
5700.0,MO2401C5700,MO2401P5700,130.8,47.8,83.00000000000001,47.8
5800.0,MO2401C5800,MO2401P5800,74.6,91.2,16.60000000000001,74.6
5900.0,MO2401C5900,MO2401P5900,38.6,155.4,116.80000000000001,38.6
6000.0,MO2401C6000,MO2401P6000,19.6,236.0,216.4,19.6
6100.0,MO2401C6100,MO2401P6100,9.6,335.4,325.79999999999995,9.6
6200.0,MO2401C6200,MO2401P6200,5.2,417.4,412.2,5.2
6300.0,MO2401C6300,MO2401P6300,2.6,483.0,480.4,2.6
6400.0,MO2401C6400,MO2401P6400,1.6,532.6,531.0,1.6
6500.0,MO2401C6500,MO2401P6500,1.4,702.0,700.6,1.4
6600.0,MO2401C6600,MO2401P6600,1.2,826.2,825.0,1.2
6700.0,MO2401C6700,MO2401P6700,1.0,829.2,828.2,1.0
6800.0,MO2401C6800,MO2401P6800,0.6,927.0,926.4,0.6
6900.0,MO2401C6900,MO2401P6900,0.6,1019.0,1018.4,0.6
