strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.55,10007135,10007136,0.2659,0.0001,0.26580000000000004,0.0001
0.6,10007089,10007098,0.2021,0.0001,0.202,0.0001
0.65,10007090,10007099,0.1529,0.0001,0.15280000000000002,0.0001
0.7,10007091,10007100,0.0959,0.0002,0.0957,0.0002
0.75,10007092,10007101,0.046,0.0011,0.0449,0.0011
0.8,10007093,10007102,0.0099,0.0149,0.004999999999999999,0.0099
0.85,10007094,10007103,0.0013,0.0573,0.055999999999999994,0.0013
0.9,10007095,10007104,0.0003,0.1057,0.10540000000000001,0.0003
0.95,10007096,10007105,0.0001,0.1455,0.1454,0.0001
1.0,10007097,10007106,0.0001,0.1974,0.1973,0.0001
