strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2405C4500,MO2405P4500,1006.2,1.4,1004.8000000000001,1.4
4550.0,MO2405C4550,MO2405P4550,951.6,1.2,950.4,1.2
4600.0,MO2405C4600,MO2405P4600,901.0,1.4,899.6,1.4
4650.0,MO2405C4650,MO2405P4650,851.6,1.6,850.0,1.6
4700.0,MO2405C4700,MO2405P4700,804.4,1.6,802.8,1.6
4750.0,MO2405C4750,MO2405P4750,757.8,1.8,756.0,1.8
4800.0,MO2405C4800,MO2405P4800,703.8,2.8,701.0,2.8
4850.0,MO2405C4850,MO2405P4850,658.2,3.8,654.4000000000001,3.8
4900.0,MO2405C4900,MO2405P4900,602.4,5.4,597.0,5.4
4950.0,MO2405C4950,MO2405P4950,555.4,7.2,548.1999999999999,7.2
5000.0,MO2405C5000,MO2405P5000,510.0,10.4,499.6,10.4
5100.0,MO2405C5100,MO2405P5100,418.2,18.2,400.0,18.2
5200.0,MO2405C5200,MO2405P5200,335.6,32.2,303.40000000000003,32.2
5300.0,MO2405C5300,MO2405P5300,261.0,53.6,207.4,53.6
5400.0,MO2405C5400,MO2405P5400,193.4,86.0,107.4,86.0
5500.0,MO2405C5500,MO2405P5500,138.6,130.0,8.599999999999994,130.0
5600.0,MO2405C5600,MO2405P5600,94.4,188.6,94.19999999999999,94.4
5700.0,MO2405C5700,MO2405P5700,61.8,256.6,194.8,61.8
5800.0,MO2405C5800,MO2405P5800,37.8,333.6,295.8,37.8
5900.0,MO2405C5900,MO2405P5900,22.6,417.8,395.2,22.6
6000.0,MO2405C6000,MO2405P6000,13.6,507.0,493.4,13.6
6100.0,MO2405C6100,MO2405P6100,7.8,601.2,593.4000000000001,7.8
6200.0,MO2405C6200,MO2405P6200,4.4,698.6,694.2,4.4
6300.0,MO2405C6300,MO2405P6300,2.4,808.2,805.8000000000001,2.4
