strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
3850.0,MO2403C3850,MO2403P3850,1628.2,0.2,1628.0,0.2
3900.0,MO2403C3900,MO2403P3900,1576.0,0.2,1575.8,0.2
3950.0,MO2403C3950,MO2403P3950,1530.0,0.2,1529.8,0.2
4000.0,MO2403C4000,MO2403P4000,1471.2,0.2,1471.0,0.2
4050.0,MO2403C4050,MO2403P4050,1426.0,0.2,1425.8,0.2
4100.0,MO2403C4100,MO2403P4100,1376.0,0.2,1375.8,0.2
4150.0,MO2403C4150,MO2403P4150,1321.2,0.2,1321.0,0.2
4200.0,MO2403C4200,MO2403P4200,1275.0,0.2,1274.8,0.2
4250.0,MO2403C4250,MO2403P4250,1232.8,0.2,1232.6,0.2
4300.0,MO2403C4300,MO2403P4300,1182.6,0.2,1182.3999999999999,0.2
4350.0,MO2403C4350,MO2403P4350,1132.8,0.2,1132.6,0.2
4400.0,MO2403C4400,MO2403P4400,1075.4,0.2,1075.2,0.2
4450.0,MO2403C4450,MO2403P4450,1026.8,0.2,1026.6,0.2
4500.0,MO2403C4500,MO2403P4500,977.8,0.2,977.5999999999999,0.2
4550.0,MO2403C4550,MO2403P4550,929.4,0.2,929.1999999999999,0.2
4600.0,MO2403C4600,MO2403P4600,879.6,0.2,879.4,0.2
4650.0,MO2403C4650,MO2403P4650,825.8,0.2,825.5999999999999,0.2
4700.0,MO2403C4700,MO2403P4700,786.0,0.2,785.8,0.2
4750.0,MO2403C4750,MO2403P4750,727.2,0.2,727.0,0.2
4800.0,MO2403C4800,MO2403P4800,686.2,0.2,686.0,0.2
4850.0,MO2403C4850,MO2403P4850,625.6,0.2,625.4,0.2
4900.0,MO2403C4900,MO2403P4900,576.8,0.2,576.5999999999999,0.2
4950.0,MO2403C4950,MO2403P4950,525.8,0.2,525.5999999999999,0.2
5000.0,MO2403C5000,MO2403P5000,484.0,0.2,483.8,0.2
5100.0,MO2403C5100,MO2403P5100,376.8,0.2,376.6,0.2
5200.0,MO2403C5200,MO2403P5200,283.0,0.2,282.8,0.2
5300.0,MO2403C5300,MO2403P5300,182.0,0.2,181.8,0.2
5400.0,MO2403C5400,MO2403P5400,83.0,0.2,82.8,0.2
5500.0,MO2403C5500,MO2403P5500,2.0,19.2,17.2,2.0
5600.0,MO2403C5600,MO2403P5600,0.2,117.0,116.8,0.2
5700.0,MO2403C5700,MO2403P5700,0.2,218.2,218.0,0.2
5800.0,MO2403C5800,MO2403P5800,0.2,316.4,316.2,0.2
5900.0,MO2403C5900,MO2403P5900,0.2,424.0,423.8,0.2
6000.0,MO2403C6000,MO2403P6000,0.2,525.0,524.8,0.2
6100.0,MO2403C6100,MO2403P6100,0.2,623.8,623.5999999999999,0.2
6200.0,MO2403C6200,MO2403P6200,0.2,723.6,723.4,0.2
6300.0,MO2403C6300,MO2403P6300,0.2,817.0,816.8,0.2
6400.0,MO2403C6400,MO2403P6400,0.2,917.0,916.8,0.2
6500.0,MO2403C6500,MO2403P6500,0.2,1018.8,1018.5999999999999,0.2
6600.0,MO2403C6600,MO2403P6600,0.2,1118.8,1118.6,0.2
6800.0,MO2403C6800,MO2403P6800,0.2,1339.2,1339.0,0.2
7000.0,MO2403C7000,MO2403P7000,0.2,1510.0,1509.8,0.2
7200.0,MO2403C7200,MO2403P7200,0.2,1734.6,1734.3999999999999,0.2
7400.0,MO2403C7400,MO2403P7400,0.2,1915.2,1915.0,0.2
7600.0,MO2403C7600,MO2403P7600,0.2,2114.0,2113.8,0.2
7800.0,MO2403C7800,MO2403P7800,0.2,2311.2,2311.0,0.2
