,datetime,r_f,near_maturity_time,days_in_year,T1_min,next_maturity_time,T2_min,close
0,2024-03-15 09:31:00,0.018325,2024-03-15 09:30:00,242,-1.0,2024-04-19 09:30:00,33119.0,5472.9847
1,2024-03-15 09:32:00,0.018325,2024-03-15 09:30:00,242,-2.0,2024-04-19 09:30:00,33118.0,5484.6036
2,2024-03-15 09:33:00,0.018325,2024-03-15 09:30:00,242,-3.0,2024-04-19 09:30:00,33117.0,5481.7902
3,2024-03-15 09:34:00,0.018325,2024-03-15 09:30:00,242,-4.0,2024-04-19 09:30:00,33116.0,5486.5523
4,2024-03-15 09:35:00,0.018325,2024-03-15 09:30:00,242,-5.0,2024-04-19 09:30:00,33115.0,5485.6627
5,2024-03-15 09:36:00,0.018325,2024-03-15 09:30:00,242,-6.0,2024-04-19 09:30:00,33114.0,5473.2829
6,2024-03-15 09:37:00,0.018325,2024-03-15 09:30:00,242,-7.0,2024-04-19 09:30:00,33113.0,5477.4734
7,2024-03-15 09:38:00,0.018325,2024-03-15 09:30:00,242,-8.0,2024-04-19 09:30:00,33112.0,5478.5978
8,2024-03-15 09:39:00,0.018325,2024-03-15 09:30:00,242,-9.0,2024-04-19 09:30:00,33111.0,5469.7706
9,2024-03-15 09:40:00,0.018325,2024-03-15 09:30:00,242,-10.0,2024-04-19 09:30:00,33110.0,5472.2486
10,2024-03-15 09:41:00,0.018325,2024-03-15 09:30:00,242,-11.0,2024-04-19 09:30:00,33109.0,5475.7039
11,2024-03-15 09:42:00,0.018325,2024-03-15 09:30:00,242,-12.0,2024-04-19 09:30:00,33108.0,5474.3999
12,2024-03-15 09:43:00,0.018325,2024-03-15 09:30:00,242,-13.0,2024-04-19 09:30:00,33107.0,5465.1074
13,2024-03-15 09:44:00,0.018325,2024-03-15 09:30:00,242,-14.0,2024-04-19 09:30:00,33106.0,5461.7905
14,2024-03-15 09:45:00,0.018325,2024-03-15 09:30:00,242,-15.0,2024-04-19 09:30:00,33105.0,5466.3022
15,2024-03-15 09:46:00,0.018325,2024-03-15 09:30:00,242,-16.0,2024-04-19 09:30:00,33104.0,5460.8591
16,2024-03-15 09:47:00,0.018325,2024-03-15 09:30:00,242,-17.0,2024-04-19 09:30:00,33103.0,5468.1769
17,2024-03-15 09:48:00,0.018325,2024-03-15 09:30:00,242,-18.0,2024-04-19 09:30:00,33102.0,5471.1735
18,2024-03-15 09:49:00,0.018325,2024-03-15 09:30:00,242,-19.0,2024-04-19 09:30:00,33101.0,5478.328
19,2024-03-15 09:50:00,0.018325,2024-03-15 09:30:00,242,-20.0,2024-04-19 09:30:00,33100.0,5478.4384
20,2024-03-15 09:51:00,0.018325,2024-03-15 09:30:00,242,-21.0,2024-04-19 09:30:00,33099.0,5476.4507
21,2024-03-15 09:52:00,0.018325,2024-03-15 09:30:00,242,-22.0,2024-04-19 09:30:00,33098.0,5474.0035
22,2024-03-15 09:53:00,0.018325,2024-03-15 09:30:00,242,-23.0,2024-04-19 09:30:00,33097.0,5470.4524
23,2024-03-15 09:54:00,0.018325,2024-03-15 09:30:00,242,-24.0,2024-04-19 09:30:00,33096.0,5476.5467
24,2024-03-15 09:55:00,0.018325,2024-03-15 09:30:00,242,-25.0,2024-04-19 09:30:00,33095.0,5475.3441
25,2024-03-15 09:56:00,0.018325,2024-03-15 09:30:00,242,-26.0,2024-04-19 09:30:00,33094.0,5478.718
26,2024-03-15 09:57:00,0.018325,2024-03-15 09:30:00,242,-27.0,2024-04-19 09:30:00,33093.0,5477.3989
27,2024-03-15 09:58:00,0.018325,2024-03-15 09:30:00,242,-28.0,2024-04-19 09:30:00,33092.0,5474.8159
28,2024-03-15 09:59:00,0.018325,2024-03-15 09:30:00,242,-29.0,2024-04-19 09:30:00,33091.0,5477.9524
29,2024-03-15 10:00:00,0.018325,2024-03-15 09:30:00,242,-30.0,2024-04-19 09:30:00,33090.0,5477.8765
30,2024-03-15 10:01:00,0.018325,2024-03-15 09:30:00,242,-31.0,2024-04-19 09:30:00,33089.0,5471.9777
31,2024-03-15 10:02:00,0.018325,2024-03-15 09:30:00,242,-32.0,2024-04-19 09:30:00,33088.0,5466.866
32,2024-03-15 10:03:00,0.018325,2024-03-15 09:30:00,242,-33.0,2024-04-19 09:30:00,33087.0,5473.7472
33,2024-03-15 10:04:00,0.018325,2024-03-15 09:30:00,242,-34.0,2024-04-19 09:30:00,33086.0,5472.1846
34,2024-03-15 10:05:00,0.018325,2024-03-15 09:30:00,242,-35.0,2024-04-19 09:30:00,33085.0,5471.5399
35,2024-03-15 10:06:00,0.018325,2024-03-15 09:30:00,242,-36.0,2024-04-19 09:30:00,33084.0,5470.5217
36,2024-03-15 10:07:00,0.018325,2024-03-15 09:30:00,242,-37.0,2024-04-19 09:30:00,33083.0,5472.1046
37,2024-03-15 10:08:00,0.018325,2024-03-15 09:30:00,242,-38.0,2024-04-19 09:30:00,33082.0,5464.075
38,2024-03-15 10:09:00,0.018325,2024-03-15 09:30:00,242,-39.0,2024-04-19 09:30:00,33081.0,5463.4434
39,2024-03-15 10:10:00,0.018325,2024-03-15 09:30:00,242,-40.0,2024-04-19 09:30:00,33080.0,5470.8975
40,2024-03-15 10:11:00,0.018325,2024-03-15 09:30:00,242,-41.0,2024-04-19 09:30:00,33079.0,5472.6566
41,2024-03-15 10:12:00,0.018325,2024-03-15 09:30:00,242,-42.0,2024-04-19 09:30:00,33078.0,5477.4044
42,2024-03-15 10:13:00,0.018325,2024-03-15 09:30:00,242,-43.0,2024-04-19 09:30:00,33077.0,5486.6612
43,2024-03-15 10:14:00,0.018325,2024-03-15 09:30:00,242,-44.0,2024-04-19 09:30:00,33076.0,5482.9251
44,2024-03-15 10:15:00,0.018325,2024-03-15 09:30:00,242,-45.0,2024-04-19 09:30:00,33075.0,5481.8088
45,2024-03-15 10:16:00,0.018325,2024-03-15 09:30:00,242,-46.0,2024-04-19 09:30:00,33074.0,5482.7174
46,2024-03-15 10:17:00,0.018325,2024-03-15 09:30:00,242,-47.0,2024-04-19 09:30:00,33073.0,5485.4537
47,2024-03-15 10:18:00,0.018325,2024-03-15 09:30:00,242,-48.0,2024-04-19 09:30:00,33072.0,5481.9051
48,2024-03-15 10:19:00,0.018325,2024-03-15 09:30:00,242,-49.0,2024-04-19 09:30:00,33071.0,5481.6317
49,2024-03-15 10:20:00,0.018325,2024-03-15 09:30:00,242,-50.0,2024-04-19 09:30:00,33070.0,5482.3157
50,2024-03-15 10:21:00,0.018325,2024-03-15 09:30:00,242,-51.0,2024-04-19 09:30:00,33069.0,5485.639
51,2024-03-15 10:22:00,0.018325,2024-03-15 09:30:00,242,-52.0,2024-04-19 09:30:00,33068.0,5484.3185
52,2024-03-15 10:23:00,0.018325,2024-03-15 09:30:00,242,-53.0,2024-04-19 09:30:00,33067.0,5483.6123
53,2024-03-15 10:24:00,0.018325,2024-03-15 09:30:00,242,-54.0,2024-04-19 09:30:00,33066.0,5482.5919
54,2024-03-15 10:25:00,0.018325,2024-03-15 09:30:00,242,-55.0,2024-04-19 09:30:00,33065.0,5477.5815
55,2024-03-15 10:26:00,0.018325,2024-03-15 09:30:00,242,-56.0,2024-04-19 09:30:00,33064.0,5476.8937
56,2024-03-15 10:27:00,0.018325,2024-03-15 09:30:00,242,-57.0,2024-04-19 09:30:00,33063.0,5479.2741
57,2024-03-15 10:28:00,0.018325,2024-03-15 09:30:00,242,-58.0,2024-04-19 09:30:00,33062.0,5477.4378
58,2024-03-15 10:29:00,0.018325,2024-03-15 09:30:00,242,-59.0,2024-04-19 09:30:00,33061.0,5480.1202
59,2024-03-15 10:30:00,0.018325,2024-03-15 09:30:00,242,-60.0,2024-04-19 09:30:00,33060.0,5481.8845
60,2024-03-15 10:31:00,0.018325,2024-03-15 09:30:00,242,-61.0,2024-04-19 09:30:00,33059.0,5482.4303
61,2024-03-15 10:32:00,0.018325,2024-03-15 09:30:00,242,-62.0,2024-04-19 09:30:00,33058.0,5480.9037
62,2024-03-15 10:33:00,0.018325,2024-03-15 09:30:00,242,-63.0,2024-04-19 09:30:00,33057.0,5480.1785
63,2024-03-15 10:34:00,0.018325,2024-03-15 09:30:00,242,-64.0,2024-04-19 09:30:00,33056.0,5481.2132
64,2024-03-15 10:35:00,0.018325,2024-03-15 09:30:00,242,-65.0,2024-04-19 09:30:00,33055.0,5483.8931
65,2024-03-15 10:36:00,0.018325,2024-03-15 09:30:00,242,-66.0,2024-04-19 09:30:00,33054.0,5479.9303
66,2024-03-15 10:37:00,0.018325,2024-03-15 09:30:00,242,-67.0,2024-04-19 09:30:00,33053.0,5479.7392
67,2024-03-15 10:38:00,0.018325,2024-03-15 09:30:00,242,-68.0,2024-04-19 09:30:00,33052.0,5480.0954
68,2024-03-15 10:39:00,0.018325,2024-03-15 09:30:00,242,-69.0,2024-04-19 09:30:00,33051.0,5480.6829
