strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4600.0,MO2407C4600,MO2407P4600,535.0,16.6,518.4,16.6
4650.0,MO2407C4650,MO2407P4650,451.0,21.2,429.8,21.2
4700.0,MO2407C4700,MO2407P4700,400.0,26.8,373.2,26.8
4750.0,MO2407C4750,MO2407P4750,364.8,34.0,330.8,34.0
4800.0,MO2407C4800,MO2407P4800,319.4,42.6,276.79999999999995,42.6
4850.0,MO2407C4850,MO2407P4850,286.6,57.6,229.00000000000003,57.6
4900.0,MO2407C4900,MO2407P4900,246.6,68.2,178.39999999999998,68.2
4950.0,MO2407C4950,MO2407P4950,222.2,87.0,135.2,87.0
5000.0,MO2407C5000,MO2407P5000,181.4,102.8,78.60000000000001,102.8
5100.0,MO2407C5100,MO2407P5100,128.2,152.6,24.400000000000006,128.2
5200.0,MO2407C5200,MO2407P5200,88.8,210.0,121.2,88.8
5300.0,MO2407C5300,MO2407P5300,58.6,282.0,223.4,58.6
5400.0,MO2407C5400,MO2407P5400,38.0,360.0,322.0,38.0
5500.0,MO2407C5500,MO2407P5500,24.6,437.2,412.59999999999997,24.6
5600.0,MO2407C5600,MO2407P5600,16.0,536.0,520.0,16.0
5700.0,MO2407C5700,MO2407P5700,10.8,637.0,626.2,10.8
5800.0,MO2407C5800,MO2407P5800,7.0,716.8,709.8,7.0
5900.0,MO2407C5900,MO2407P5900,5.0,823.2,818.2,5.0
6000.0,MO2407C6000,MO2407P6000,4.0,925.4,921.4,4.0
6100.0,MO2407C6100,MO2407P6100,3.6,1009.8,1006.1999999999999,3.6
6200.0,MO2407C6200,MO2407P6200,3.0,1118.8,1115.8,3.0
