strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2407C4500,MO2407P4500,424.4,20.0,404.4,20.0
4550.0,MO2407C4550,MO2407P4550,358.6,26.4,332.20000000000005,26.4
4600.0,MO2407C4600,MO2407P4600,319.0,33.8,285.2,33.8
4650.0,MO2407C4650,MO2407P4650,295.0,44.0,251.0,44.0
4700.0,MO2407C4700,MO2407P4700,236.8,55.8,181.0,55.8
4750.0,MO2407C4750,MO2407P4750,201.8,70.4,131.4,70.4
4800.0,MO2407C4800,MO2407P4800,171.2,87.6,83.6,87.6
4850.0,MO2407C4850,MO2407P4850,143.4,109.2,34.2,109.2
4900.0,MO2407C4900,MO2407P4900,118.8,133.8,15.000000000000014,118.8
4950.0,MO2407C4950,MO2407P4950,96.0,160.2,64.19999999999999,96.0
5000.0,MO2407C5000,MO2407P5000,77.8,192.6,114.8,77.8
5100.0,MO2407C5100,MO2407P5100,50.2,270.0,219.8,50.2
5200.0,MO2407C5200,MO2407P5200,31.8,350.0,318.2,31.8
5300.0,MO2407C5300,MO2407P5300,20.0,436.4,416.4,20.0
5400.0,MO2407C5400,MO2407P5400,12.6,528.6,516.0,12.6
5500.0,MO2407C5500,MO2407P5500,8.0,595.2,587.2,8.0
5600.0,MO2407C5600,MO2407P5600,5.2,728.0,722.8,5.2
5700.0,MO2407C5700,MO2407P5700,3.6,816.0,812.4,3.6
5800.0,MO2407C5800,MO2407P5800,2.6,889.4,886.8,2.6
5900.0,MO2407C5900,MO2407P5900,2.0,981.4,979.4,2.0
6000.0,MO2407C6000,MO2407P6000,2.0,1109.6,1107.6,2.0
6100.0,MO2407C6100,MO2407P6100,1.8,1170.0,1168.2,1.8
6200.0,MO2407C6200,MO2407P6200,1.6,1168.8,1167.2,1.6
