strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.55,10007435,10007436,0.2083,0.0001,0.20820000000000002,0.0001
0.6,10007387,10007396,0.1599,0.0002,0.15969999999999998,0.0002
0.65,10007388,10007397,0.1139,0.0007,0.1132,0.0007
0.7,10007389,10007398,0.0662,0.0028,0.0634,0.0028
0.75,10007390,10007399,0.0277,0.0139,0.0138,0.0139
0.8,10007391,10007400,0.0087,0.0448,0.0361,0.0087
0.85,10007392,10007401,0.0032,0.0885,0.0853,0.0032
0.9,10007393,10007402,0.0011,0.1366,0.1355,0.0011
0.95,10007394,10007403,0.0005,0.1871,0.1866,0.0005
1.0,10007395,10007404,0.0004,0.2381,0.2377,0.0004
