strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2405C4500,MO2405P4500,971.6,11.4,960.2,11.4
4550.0,MO2405C4550,MO2405P4550,922.6,13.0,909.6,13.0
4600.0,MO2405C4600,MO2405P4600,873.4,15.6,857.8,15.6
4650.0,MO2405C4650,MO2405P4650,827.8,18.4,809.4,18.4
4700.0,MO2405C4700,MO2405P4700,781.4,21.6,759.8,21.6
4750.0,MO2405C4750,MO2405P4750,734.6,25.0,709.6,25.0
4800.0,MO2405C4800,MO2405P4800,688.0,29.0,659.0,29.0
4850.0,MO2405C4850,MO2405P4850,637.4,30.8,606.6,30.8
4900.0,MO2405C4900,MO2405P4900,597.8,34.8,563.0,34.8
4950.0,MO2405C4950,MO2405P4950,548.2,46.0,502.20000000000005,46.0
5000.0,MO2405C5000,MO2405P5000,505.0,54.8,450.2,54.8
5100.0,MO2405C5100,MO2405P5100,430.0,73.6,356.4,73.6
5200.0,MO2405C5200,MO2405P5200,352.2,100.0,252.2,100.0
5300.0,MO2405C5300,MO2405P5300,269.0,134.2,134.8,134.2
5400.0,MO2405C5400,MO2405P5400,209.0,172.6,36.400000000000006,172.6
5500.0,MO2405C5500,MO2405P5500,160.0,224.6,64.6,160.0
5600.0,MO2405C5600,MO2405P5600,121.4,283.0,161.6,121.4
5700.0,MO2405C5700,MO2405P5700,88.8,324.0,235.2,88.8
5800.0,MO2405C5800,MO2405P5800,65.2,412.2,347.0,65.2
5900.0,MO2405C5900,MO2405P5900,45.8,494.2,448.4,45.8
6000.0,MO2405C6000,MO2405P6000,32.4,567.2,534.8000000000001,32.4
6100.0,MO2405C6100,MO2405P6100,22.8,650.8,628.0,22.8
6200.0,MO2405C6200,MO2405P6200,16.0,748.2,732.2,16.0
6300.0,MO2405C6300,MO2405P6300,11.0,843.0,832.0,11.0
