strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
0.5,10006857,10006858,0.296,0.0001,0.2959,0.0001
0.55,10006829,10006830,0.2481,0.0002,0.24789999999999998,0.0002
0.6,10006613,10006614,0.1957,0.0002,0.1955,0.0002
0.65,10006499,10006500,0.1444,0.0005,0.1439,0.0005
0.7,10006221,10006230,0.0966,0.003,0.0936,0.003
0.75,10006222,10006231,0.0515,0.0086,0.042899999999999994,0.0086
0.8,10006223,10006232,0.0224,0.0292,0.0068000000000000005,0.0224
0.85,10006224,10006233,0.0091,0.0658,0.0567,0.0091
0.9,10006225,10006234,0.0036,0.1099,0.10629999999999999,0.0036
0.95,10006226,10006235,0.0016,0.1564,0.15480000000000002,0.0016
1.0,10006227,10006236,0.0009,0.2032,0.20229999999999998,0.0009
1.05,10006228,10006237,0.0005,0.2525,0.252,0.0005
1.1,10006229,10006238,0.0002,0.3061,0.3059,0.0002
1.15,10006267,10006268,0.0002,0.3553,0.3551,0.0002
