strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2402C4500,MO2402P4500,591.0,9.8,581.2,9.8
4550.0,MO2402C4550,MO2402P4550,581.8,12.8,569.0,12.8
4600.0,MO2402C4600,MO2402P4600,493.8,17.0,476.8,17.0
4650.0,MO2402C4650,MO2402P4650,471.8,23.2,448.6,23.2
4700.0,MO2402C4700,MO2402P4700,420.4,28.4,392.0,28.4
4750.0,MO2402C4750,MO2402P4750,359.6,37.0,322.6,37.0
4800.0,MO2402C4800,MO2402P4800,312.0,46.8,265.2,46.8
4850.0,MO2402C4850,MO2402P4850,280.0,58.2,221.8,58.2
4900.0,MO2402C4900,MO2402P4900,249.0,73.0,176.0,73.0
4950.0,MO2402C4950,MO2402P4950,207.2,90.0,117.19999999999999,90.0
5000.0,MO2402C5000,MO2402P5000,178.0,109.4,68.6,109.4
5100.0,MO2402C5100,MO2402P5100,125.4,157.2,31.799999999999983,125.4
5200.0,MO2402C5200,MO2402P5200,84.8,215.0,130.2,84.8
5300.0,MO2402C5300,MO2402P5300,55.0,288.2,233.2,55.0
5400.0,MO2402C5400,MO2402P5400,34.0,365.0,331.0,34.0
5500.0,MO2402C5500,MO2402P5500,20.6,452.0,431.4,20.6
5600.0,MO2402C5600,MO2402P5600,12.0,543.6,531.6,12.0
5700.0,MO2402C5700,MO2402P5700,7.0,622.0,615.0,7.0
5800.0,MO2402C5800,MO2402P5800,4.2,693.2,689.0,4.2
5900.0,MO2402C5900,MO2402P5900,2.4,784.6,782.2,2.4
6000.0,MO2402C6000,MO2402P6000,2.0,904.8,902.8,2.0
6100.0,MO2402C6100,MO2402P6100,1.4,817.0,815.6,1.4
6200.0,MO2402C6200,MO2402P6200,1.4,919.0,917.6,1.4
6300.0,MO2402C6300,MO2402P6300,0.8,1045.6,1044.8,0.8
6400.0,MO2402C6400,MO2402P6400,0.8,1120.0,1119.2,0.8
6500.0,MO2402C6500,MO2402P6500,0.8,1295.8,1295.0,0.8
6600.0,MO2402C6600,MO2402P6600,0.6,1637.6,1637.0,0.6
6700.0,MO2402C6700,MO2402P6700,0.6,1390.6,1390.0,0.6
6800.0,MO2402C6800,MO2402P6800,0.4,1786.4,1786.0,0.4
6900.0,MO2402C6900,MO2402P6900,0.2,1890.0,1889.8,0.2
