strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4500.0,MO2405C4500,MO2405P4500,757.6,3.0,754.6,3.0
4550.0,MO2405C4550,MO2405P4550,711.8,4.2,707.5999999999999,4.2
4600.0,MO2405C4600,MO2405P4600,663.4,5.6,657.8,5.6
4650.0,MO2405C4650,MO2405P4650,613.4,7.4,606.0,7.4
4700.0,MO2405C4700,MO2405P4700,566.2,10.0,556.2,10.0
4750.0,MO2405C4750,MO2405P4750,512.0,13.6,498.4,13.6
4800.0,MO2405C4800,MO2405P4800,465.2,18.0,447.2,18.0
4850.0,MO2405C4850,MO2405P4850,427.0,23.2,403.8,23.2
4900.0,MO2405C4900,MO2405P4900,388.0,30.0,358.0,30.0
4950.0,MO2405C4950,MO2405P4950,342.4,38.0,304.4,38.0
5000.0,MO2405C5000,MO2405P5000,307.4,48.2,259.2,48.2
5100.0,MO2405C5100,MO2405P5100,237.0,73.4,163.6,73.4
5200.0,MO2405C5200,MO2405P5200,171.4,109.2,62.2,109.2
5300.0,MO2405C5300,MO2405P5300,119.2,156.4,37.2,119.2
5400.0,MO2405C5400,MO2405P5400,78.6,216.6,138.0,78.6
5500.0,MO2405C5500,MO2405P5500,50.0,296.0,246.0,50.0
5600.0,MO2405C5600,MO2405P5600,29.2,370.2,341.0,29.2
5700.0,MO2405C5700,MO2405P5700,16.2,462.0,445.8,16.2
5800.0,MO2405C5800,MO2405P5800,8.8,552.0,543.2,8.8
5900.0,MO2405C5900,MO2405P5900,4.8,633.2,628.4000000000001,4.8
6000.0,MO2405C6000,MO2405P6000,3.4,746.0,742.6,3.4
6100.0,MO2405C6100,MO2405P6100,2.2,827.2,825.0,2.2
6200.0,MO2405C6200,MO2405P6200,1.0,953.4,952.4,1.0
6300.0,MO2405C6300,MO2405P6300,1.0,1033.4,1032.4,1.0
