strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
3850.0,MO2404C3850,MO2404P3850,1488.4,0.2,1488.2,0.2
3900.0,MO2404C3900,MO2404P3900,1447.0,0.2,1446.8,0.2
3950.0,MO2404C3950,MO2404P3950,1387.2,0.2,1387.0,0.2
4000.0,MO2404C4000,MO2404P4000,1337.2,0.2,1337.0,0.2
4050.0,MO2404C4050,MO2404P4050,1337.6,0.2,1337.3999999999999,0.2
4100.0,MO2404C4100,MO2404P4100,1237.2,0.2,1237.0,0.2
4150.0,MO2404C4150,MO2404P4150,1187.2,0.2,1187.0,0.2
4200.0,MO2404C4200,MO2404P4200,1137.8,0.4,1137.3999999999999,0.4
4250.0,MO2404C4250,MO2404P4250,1088.4,0.2,1088.2,0.2
4300.0,MO2404C4300,MO2404P4300,1037.8,0.2,1037.6,0.2
4350.0,MO2404C4350,MO2404P4350,986.6,0.2,986.4,0.2
4400.0,MO2404C4400,MO2404P4400,936.4,0.4,936.0,0.4
4450.0,MO2404C4450,MO2404P4450,889.2,0.2,889.0,0.2
4500.0,MO2404C4500,MO2404P4500,840.0,0.2,839.8,0.2
4550.0,MO2404C4550,MO2404P4550,802.0,0.4,801.6,0.4
4600.0,MO2404C4600,MO2404P4600,736.8,0.4,736.4,0.4
4650.0,MO2404C4650,MO2404P4650,690.0,0.4,689.6,0.4
4700.0,MO2404C4700,MO2404P4700,640.4,0.6,639.8,0.6
4750.0,MO2404C4750,MO2404P4750,589.4,0.8,588.6,0.8
4800.0,MO2404C4800,MO2404P4800,555.2,1.2,554.0,1.2
4850.0,MO2404C4850,MO2404P4850,515.8,1.2,514.5999999999999,1.2
4900.0,MO2404C4900,MO2404P4900,458.0,1.4,456.6,1.4
4950.0,MO2404C4950,MO2404P4950,408.8,2.2,406.6,2.2
5000.0,MO2404C5000,MO2404P5000,366.0,4.2,361.8,4.2
5100.0,MO2404C5100,MO2404P5100,270.0,8.6,261.4,8.6
5200.0,MO2404C5200,MO2404P5200,188.0,20.2,167.8,20.2
5300.0,MO2404C5300,MO2404P5300,112.0,45.2,66.8,45.2
5400.0,MO2404C5400,MO2404P5400,57.8,90.8,33.0,57.8
5500.0,MO2404C5500,MO2404P5500,25.6,158.2,132.6,25.6
5600.0,MO2404C5600,MO2404P5600,10.2,245.0,234.8,10.2
5700.0,MO2404C5700,MO2404P5700,4.0,338.8,334.8,4.0
5800.0,MO2404C5800,MO2404P5800,2.0,436.6,434.6,2.0
5900.0,MO2404C5900,MO2404P5900,1.0,545.6,544.6,1.0
6000.0,MO2404C6000,MO2404P6000,0.6,645.4,644.8,0.6
6100.0,MO2404C6100,MO2404P6100,0.6,761.2,760.6,0.6
6200.0,MO2404C6200,MO2404P6200,0.8,860.2,859.4000000000001,0.8
6300.0,MO2404C6300,MO2404P6300,0.6,960.4,959.8,0.6
