strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4850.0,MO2401C4850,MO2401P4850,429.2,2.0,427.2,2.0
4900.0,MO2401C4900,MO2401P4900,397.4,3.6,393.79999999999995,3.6
4950.0,MO2401C4950,MO2401P4950,268.8,4.6,264.2,4.6
5000.0,MO2401C5000,MO2401P5000,229.4,7.8,221.6,7.8
5100.0,MO2401C5100,MO2401P5100,147.2,22.0,125.19999999999999,22.0
5200.0,MO2401C5200,MO2401P5200,77.4,51.6,25.800000000000004,51.6
5300.0,MO2401C5300,MO2401P5300,34.2,107.0,72.8,34.2
5400.0,MO2401C5400,MO2401P5400,12.4,184.4,172.0,12.4
5500.0,MO2401C5500,MO2401P5500,3.4,275.0,271.6,3.4
5600.0,MO2401C5600,MO2401P5600,1.2,382.4,381.2,1.2
5700.0,MO2401C5700,MO2401P5700,0.4,475.4,475.0,0.4
5800.0,MO2401C5800,MO2401P5800,0.2,590.0,589.8,0.2
5900.0,MO2401C5900,MO2401P5900,0.2,680.0,679.8,0.2
6000.0,MO2401C6000,MO2401P6000,0.2,789.8,789.5999999999999,0.2
6100.0,MO2401C6100,MO2401P6100,0.2,900.2,900.0,0.2
6200.0,MO2401C6200,MO2401P6200,0.2,955.2,955.0,0.2
6300.0,MO2401C6300,MO2401P6300,0.2,1089.4,1089.2,0.2
6400.0,MO2401C6400,MO2401P6400,0.2,1176.6,1176.3999999999999,0.2
6500.0,MO2401C6500,MO2401P6500,0.2,1225.0,1224.8,0.2
6600.0,MO2401C6600,MO2401P6600,0.2,1343.8,1343.6,0.2
6700.0,MO2401C6700,MO2401P6700,0.2,1372.0,1371.8,0.2
6800.0,MO2401C6800,MO2401P6800,0.2,1474.0,1473.8,0.2
6900.0,MO2401C6900,MO2401P6900,0.2,1641.6,1641.3999999999999,0.2
