strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4350.0,MO2407C4350,MO2407P4350,486.4,14.0,472.4,14.0
4400.0,MO2407C4400,MO2407P4400,464.4,18.2,446.2,18.2
4450.0,MO2407C4450,MO2407P4450,430.6,24.6,406.0,24.6
4500.0,MO2407C4500,MO2407P4500,358.0,31.8,326.2,31.8
4550.0,MO2407C4550,MO2407P4550,315.0,40.2,274.8,40.2
4600.0,MO2407C4600,MO2407P4600,278.4,51.4,226.99999999999997,51.4
4650.0,MO2407C4650,MO2407P4650,237.2,65.0,172.2,65.0
4700.0,MO2407C4700,MO2407P4700,204.4,81.4,123.0,81.4
4750.0,MO2407C4750,MO2407P4750,173.8,99.6,74.20000000000002,99.6
4800.0,MO2407C4800,MO2407P4800,143.6,122.4,21.19999999999999,122.4
4850.0,MO2407C4850,MO2407P4850,118.2,148.0,29.799999999999997,118.2
4900.0,MO2407C4900,MO2407P4900,98.0,175.2,77.19999999999999,98.0
4950.0,MO2407C4950,MO2407P4950,79.2,208.6,129.39999999999998,79.2
5000.0,MO2407C5000,MO2407P5000,64.2,242.6,178.39999999999998,64.2
5100.0,MO2407C5100,MO2407P5100,41.2,320.2,279.0,41.2
5200.0,MO2407C5200,MO2407P5200,26.0,394.4,368.4,26.0
5300.0,MO2407C5300,MO2407P5300,17.0,485.0,468.0,17.0
5400.0,MO2407C5400,MO2407P5400,10.6,549.4,538.8,10.6
5500.0,MO2407C5500,MO2407P5500,6.8,670.2,663.4000000000001,6.8
5600.0,MO2407C5600,MO2407P5600,3.8,744.2,740.4000000000001,3.8
5700.0,MO2407C5700,MO2407P5700,2.8,849.0,846.2,2.8
5800.0,MO2407C5800,MO2407P5800,2.2,956.2,954.0,2.2
5900.0,MO2407C5900,MO2407P5900,2.0,1037.2,1035.2,2.0
6000.0,MO2407C6000,MO2407P6000,1.8,1161.4,1159.6000000000001,1.8
6100.0,MO2407C6100,MO2407P6100,1.8,1261.0,1259.2,1.8
6200.0,MO2407C6200,MO2407P6200,1.4,1168.8,1167.3999999999999,1.4
