strike_price,call_obid,put_obid,call_close,put_close,put_call_diff,put_call_min
4600.0,MO2407C4600,MO2407P4600,490.4,37.0,453.4,37.0
4650.0,MO2407C4650,MO2407P4650,451.6,46.8,404.8,46.8
4700.0,MO2407C4700,MO2407P4700,403.8,57.8,346.0,57.8
4750.0,MO2407C4750,MO2407P4750,352.0,66.4,285.6,66.4
4800.0,MO2407C4800,MO2407P4800,331.8,82.4,249.4,82.4
4850.0,MO2407C4850,MO2407P4850,296.6,97.0,199.60000000000002,97.0
4900.0,MO2407C4900,MO2407P4900,251.2,115.2,136.0,115.2
4950.0,MO2407C4950,MO2407P4950,234.8,134.4,100.4,134.4
5000.0,MO2407C5000,MO2407P5000,202.2,156.6,45.599999999999994,156.6
5100.0,MO2407C5100,MO2407P5100,153.6,206.8,53.20000000000002,153.6
5200.0,MO2407C5200,MO2407P5200,115.0,268.4,153.39999999999998,115.0
5300.0,MO2407C5300,MO2407P5300,83.0,339.6,256.6,83.0
5400.0,MO2407C5400,MO2407P5400,60.6,411.0,350.4,60.6
5500.0,MO2407C5500,MO2407P5500,42.2,502.0,459.8,42.2
5600.0,MO2407C5600,MO2407P5600,29.8,576.0,546.2,29.8
5700.0,MO2407C5700,MO2407P5700,20.2,676.8,656.5999999999999,20.2
5800.0,MO2407C5800,MO2407P5800,14.2,760.0,745.8,14.2
5900.0,MO2407C5900,MO2407P5900,9.8,882.4,872.6,9.8
6000.0,MO2407C6000,MO2407P6000,7.2,981.0,973.8,7.2
6100.0,MO2407C6100,MO2407P6100,5.8,1062.2,1056.4,5.8
6200.0,MO2407C6200,MO2407P6200,4.2,1160.6,1156.3999999999999,4.2
